0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8
-0.1003690789	0.0	1.6547863880000002	0.5665545586	-1.022360268	-0.7711430570000001	-0.1897977339	0.46266124	-0.2246921286	1.179156363
-0.10758234439999999	0.0	-0.2566188854	0.5144363365	0.8672968201000001	-0.3613003521	-0.5119932056000001	-0.1359696328	-0.7228384731	0.2480267571
-0.1145281432	0.0	-0.4556017312	-0.2915150671	0.9156937235	-0.046692771900000006	-0.8585967697	-0.1549896867	-0.9630882669	1.065860097
-0.12118920710000004	0.0	-0.8852701967000001	0.7689937723	-0.1293395106	0.5207426347	0.01833363141	0.4048543088	-0.3074354703	1.506742595
-0.1275489755	0.0	0.4518054218	0.1355768645	-0.7300912879000001	-0.6785510778	-1.076856985	0.9982928503	0.42189789	0.8777184794
-0.13359163699999999	0.0	-0.3018397605	0.06746325572	1.26463786	-0.5565560646	-1.64490395	-0.6740444787000001	0.1052044153	0.1484194309
-0.1393021686	0.0	-0.9536872989	1.023580207	-0.1058927906	0.1563419252	-0.6475965162	-1.7336320180000002	-0.8825037662999999	0.02965218985
-0.1446663732	0.0	1.3706557169999998	0.5508352496	-1.372245526	-0.4924190632	-0.8245573425	-1.6925414419999998	-0.8972712925	0.026388196380000003
-0.14967091429999999	0.0	0.2244722537	-0.07450584056	0.8434794623999999	-0.8620510087000001	-1.121834027	-1.42472263	0.2991046573	-0.9654626683
-0.15430335	0.0	-0.9607543763	-0.1631012002	0.4443660884	1.003662801	-1.327803019	0.7891241165999999	0.08261221012999999	-1.4349107369999998
-0.1585521632	0.0	-0.5215998298	1.040880692	-1.008176109	0.4750017905	-0.3879343398	1.910843832	-1.314504924	-1.212601308
-0.1624067907	0.0	1.902764295	0.4285544857	-1.513701124	-0.3905257666	-0.5836728028	0.8996819822	-1.076666576	-0.7601992398999999
-0.1658576494	0.0	0.09377953045	-0.1741448052	0.6956166467	-0.17679662079999994	-1.417720346	1.264269708	0.7934596305	-0.6945349531999999
-0.16889615989999998	0.0	-0.6407236904	-0.08685320627999997	0.4724200541	1.932059999	-1.743129834	1.755177511	0.4386025148	-0.6167819314
-0.17151476780000002	0.0	3.283172865	1.655945294	-1.370146889	0.3637818376	0.09845255581	1.2323446059999998	-1.384321822	1.040036579
-0.1737069631	0.0	0.6641045175	1.818190032	1.7652369730000002	1.36809586	-1.1671295659999998	1.476834108	-0.17809548190000002	-0.1990016615
-0.1754672954	0.0	0.6231712429	3.382662105	2.644381028	3.378375587	0.4920758947	-0.7570615039	-1.078131226	-0.275593501
-0.1767913884	0.0	2.350887156	2.834227524	0.2467892327	2.140897294	0.1541753534	-0.02582147732	-1.147647344	-0.3950530624
-0.1776759502	0.0	1.205818754	1.7406502119999998	1.903596373	1.159863918	-1.240333922	1.091700106	1.989262107	0.8645085487999999
-0.1781187815	0.0	-0.0881681193	2.337664052	1.252684256	2.552987214	-0.04480777824	-1.331052576	1.81603169	-0.4103654553
