0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8	0.0.9	0.0.10	0.0.11	0.0.12
0.1204046724	0.0	0.0	0.0	0.0	-0.3036177459	0.2691857179	-0.9492881023	0.6984910373000001	0.004855022407	-0.6790912684999999	0.2442601765	1.90267917	-0.17303717940000002
0.1135001407	0.0	0.0	0.0	0.0	-0.3066363124	-1.516028654	-0.07182871151	-0.5129217307	0.26246751960000003	1.170681582	1.235870884	0.30308500850000003	-0.2143506472
0.1063042558	0.0	0.0	0.0	0.0	-0.7885772076	0.6919511786	-0.5372057416	-0.5288238056	-0.9237556977	-0.06601914646000001	0.5674818905	0.4083040598	-0.2255295524
0.0988354893	0.0	0.0	0.0	0.0	-0.2787585052	-2.0562186280000003	0.1110863318	1.3558189580000002	0.4270493427000001	-1.05324515	0.0190732737	-1.156187288	-0.3763402685
0.0911130136	0.0	0.0	0.0	0.0	-0.699665222	-0.6744733341	-1.393793913	-1.299037557	0.2454056087	0.971078243	0.16103945320000002	-1.34336035	-1.235246193
0.0831566521	0.0	0.0	0.0	0.0	-1.358045772	-0.5393457981	0.275363377	0.6725896954	-0.686144202	0.3564285593	0.08213479738	2.230030589	-0.1157050808
0.07498682870000001	0.0	0.0	0.0	0.0	0.2648916365	-0.5621719906	2.325918952	1.251115159	1.148205351	3.066844667	0.3257303457	0.4619965865	0.26543068579999995
0.0666245151	0.0	0.0	0.0	0.0	0.2781296784	2.523580883	1.8837397	-0.8417058685	0.1993658763	-0.3563464839	0.4047625679	-0.016795956919999997	-1.098531472
0.0580911774	0.0	0.0	0.0	0.0	1.491879346	-1.198194812	0.4396403465	0.3937163944	-0.5092213733	-1.238686885	0.7877858281	0.1696486791	0.3398433298
0.0494087204	0.0	0.0	0.0	0.0	0.2539630654	0.1754599931	-1.220011745	0.7023110266	1.293657729	-0.4703728951	0.5340505247	0.2973095427	0.05356621785
