0.0	1.0	0.0.1	0.0.2	0.0.3	0.0.4	0.0.5	0.0.6	0.0.7	0.0.8
0.08521250150000001	0.0	-0.6873503037	0.1360291086	-0.2661499217	0.4998498761	-0.6188554476	1.589926871	1.96039488	-0.5643766393
0.0773068713	0.0	-0.3797651623	1.420446087	0.8395758126	1.681381355	0.2207746834	-0.2360788588	0.1609978054	-1.390982385
0.069209044	0.0	-0.4322790763	-0.4852071784000001	1.813206036	-0.9619373434	0.6262685705	-0.9380383031	0.3699465169	0.5198055860999999
0.0609391522	0.0	-0.1246251443	-0.5995224500999999	0.3338533441	-1.674064665	1.994404303	-0.07308014121	-0.04743615909	0.6048119749
0.052517756	0.0	-0.2389633842	-0.2528071712	-1.306529673	-1.317944468	0.3087338837	-0.2419303184	1.524086805	0.355161457
0.0439657924	0.0	-0.1987827965	0.9369398852	0.06370355345999999	0.08269125432	-1.091980445	0.9308320193	-0.6311493824000001	0.5320131924
0.0353045229	0.0	-0.13843902119999998	0.9075317961	0.703876863	1.188069365	0.08131618599	-1.241567651	-0.83603446	1.537991035
0.0265554808	0.0	-0.09134577313	-1.545050302	1.738016288	-0.5465733302	1.15332972	0.16285784960000002	-0.7154697081999999	0.8079700482
0.0177404176	0.0	-0.1752041762	-0.2501945345	-1.078462802	-0.5488183464	2.06220284	0.4028379212	1.07816194	0.4409297076
0.0088812489	0.0	-0.6396495472	0.901278831	0.1572351992	0.9916054029	-0.5768103918	1.381898392	-0.05238903273	-0.8688333490000001
0.0	0.0	-0.2465995951	-1.5320105519999998	1.423550761	-0.1031592261	0.1577443244	-0.9041009076	0.3193295081	-1.517549116
-0.0088812489	0.0	0.447962276	-0.1280657567	-1.002795512	-1.261553958	1.935673698	-0.04917750627	1.166112392	-1.84752023
-0.0177404176	0.0	0.09382274391	1.319103788	-0.1970748003	-0.2011424423	-0.5254033749	1.418580763	-0.7840292997	-0.6315075722
-0.0265554808	0.0	0.5698780909000001	0.4051174363	1.021847346	0.9323272366	-0.03663079369	-1.916092502	0.03452963194	0.6490747262
-0.0353045229	0.0	0.4376882254	-1.062986227	1.398345718	-0.4891143946	0.9325035188	0.09348443515	-0.3900979277	-0.8014290412999999
